parsed 200 fresh batch updates, 200 with probe fields

  ep grad  tfrac  p(dep) adv_dep_raw adv_non_raw    G_dep self_n teach_n
   1    1  0.719  0.0242        None    +12.6429 +20.3968      0      18
   2    4  0.625  0.0320        None    +20.3841     None      0       0
   3    6  0.719  0.0350        None    +29.4711     None      0       0
   4    8  0.656  0.0356    +14.8154    +42.9630 +20.4862      1       0
   5   10  0.688  0.0434    +18.8923    +52.0044 +26.9034      1       0
   6   13  0.562  0.0467    +52.4811    +42.6847 +61.8500      1       0
   7   15  0.641  0.0477    +49.6159    +36.0228 +59.2692      2       0
   8   18  0.547  0.0529    +15.4336    +29.6743 +25.3626      2       0
   9   20  0.547  0.0563     +7.7076    +20.6845 +17.7911      1       0
  10   22  0.469  0.0604    +12.0900    +11.9083 +22.3431      4       0
  11   25  0.625  0.0730     +4.4740     +3.5106 +14.9241      2       0
  12   27  0.594  0.0857     +2.7007     +2.7249 +13.2489      3       0
  13   29  0.562  0.0972     +1.6383     +1.7244 +12.7606      3       4
  14   32  0.578  0.1103     +1.3097     +1.2648 +11.9071      4       0
  15   34  0.469  0.1146     +0.0001     +0.0168 +10.6033      7       0
  16   37  0.562  0.0897     +0.2373     +0.4541 +10.5653      3       0
  17   39  0.484  0.0742     -0.5420     +0.1774  +9.5359      1       0
  18   41  0.516  0.0615     -0.0688     +0.2645  +9.5676      1       7
  19   44  0.453  0.0509     -1.6558     -1.0429  +7.7505      1       0
  20   46  0.719  0.0416        None     +0.3530     None      0       0
  21   47  0.438  0.0407     -5.8727     -1.5797  +6.8535      3      10
  22   49  0.453  0.0364        None     +3.3367 +12.4422      0       8
  23   51  0.453  0.0348     +9.1732     +6.0499 +16.9786      1       8
  24   53  0.578  0.0349     +5.3206     +3.6502 +12.1400      1       6
  25   55  0.484  0.0362     +1.7860     +1.2291  +8.2606      3       0
  26   57  0.594  0.0383        None     +1.0231     None      0       0
  27   59  0.531  0.0400        None     +0.0986     None      0       0
  28   62  0.406  0.0355     +3.4599     +4.3113  +9.3075      1       0
  29   64  0.484  0.0341     +8.5486    +12.3720 +14.7747      2       0
  30   65  0.469  0.0351        None    +24.3819 +40.8106      0      10
  31   68  0.469  0.0407        None    +52.9994     None      0       0
  32   70  0.594  0.0484    +46.8751    +82.3700 +55.8238      1       0
  33   72  0.625  0.0630    +97.1898    +96.1530 +139.1225      2       3
  34   75  0.656  0.0875        None    +86.1061     None      0       0
  35   77  0.547  0.0919    +72.5804    +75.3697 +83.5486      3       0
  36   79  0.578  0.0920    +78.7789    +83.9821 +89.9148      4       0
  37   81  0.641  0.0908    +89.6955    +72.9224 +100.9390      4       0
  38   84  0.703  0.0905    +76.1701    +75.1676 +87.6370      2       0
  39   86  0.516  0.0906    +90.4875    +91.1495 +102.1157      3       0
  40   88  0.547  0.0910    +50.6564    +95.4181 +62.4464      1       0
  41   91  0.625  0.0914    +62.2263    +84.5494 +74.2588      2       0
  42   93  0.531  0.0918    +79.2419    +73.6751 +91.4415      3       0
  43   96  0.406  0.0924    +54.8034    +65.1165 +67.2492      4       0
  44   98  0.578  0.0923    +53.4302    +60.1801 +66.0392      4       0
  45  100  0.656  0.0929        None    +50.6480     None      0       0
  46  102  0.656  0.0934        None    +39.6443     None      0       0
  47  105  0.656  0.0944    +59.9963    +33.3985 +56.0074      1       8
  48  107  0.672  0.0951        None    +31.3537     None      0       0
  49  110  0.672  0.0957    +36.9423    +22.6150 +50.5462      1       0
  50  112  0.578  0.0967    +37.2777    +20.0896 +51.0505      2       0
  51  114  0.562  0.0980    +20.9955    +13.3021 +34.9369      3       0
  52  117  0.531  0.1018     +6.1664     +6.0862 +20.3280      3       0
  53  119  0.734  0.1065     +0.1287     +0.3203 +14.4106      2       0
  54  122  0.641  0.0977     -1.6617     -1.7020 +12.6959      5       0
  55  124  0.609  0.0912     +3.8203     +1.7540 +18.1074      1       0
  56  126  0.656  0.0867     +3.8622     +3.2272 +18.0615      3       0
