parsed 200 fresh batch updates, 200 with probe fields
  57  129  0.531  0.0810     +3.4157     +3.6752 +17.5208      5       0
  58  131  0.594  0.0819     +3.2322     +2.4784 +17.9394      1       2
  59  133  0.469  0.0860     +2.3820     +1.8599 +17.1072      3       7
  60  136  0.547  0.0951     -3.1520     -2.2933 +10.9194      2       0
  61  138  0.703  0.1012     -2.1885     -2.0496 +11.6950      2       0
  62  140  0.672  0.1074     -3.2251     -2.0569 +10.3278      3       0
  63  142  0.594  0.1109        None     +0.2195 +12.7351      0       2
  64  145  0.484  0.1070     -1.4899     -1.7007 +10.7834      2       0
  65  147  0.625  0.1032     -1.2590     -0.5537 +10.1380      1       0
  66  149  0.547  0.0913     +2.6968     +1.4708 +12.0876      1      18
  67  152  0.688  0.0827     +2.2228     +1.7230 +11.0924      2       0
  68  154  0.547  0.0781     -1.5022     -1.3419  +7.1461      5       1
  69  156  0.547  0.0705     -1.2403     -0.9642  +6.6065      3       0
  70  158  0.438  0.0623     +0.7918     +1.1696  +7.0331      2      12
  71  160  0.594  0.0579     +0.2091     +0.1960  +5.7036      6       3
  72  163  0.672  0.0531     -0.2466     -0.1315  +3.6586      3       0
  73  165  0.562  0.0448     +7.2132     +4.7418  +8.9045      1       0
  74  167  0.531  0.0417     +0.8621     +3.1455  +2.0912      2       0
  75  170  0.500  0.0398     +1.8751     +1.8863  +3.7711      1       0
  76  172  0.688  0.0385    +12.7025     +7.6950 +15.3872      1       0
  77  174  0.641  0.0372        None    +16.2678     None      0       0
  78  176  0.734  0.0361    +22.6454    +21.3258 +27.2516      1       0
  79  178  0.562  0.0347    +32.6922    +22.5806 +38.3148      1       0
  80  181  0.688  0.0324        None    +24.4306     None      0       0
  81  183  0.719  0.0306    +41.1635    +32.3211 +49.4644      1       0
  82  186  0.609  0.0290    +24.9203    +59.0646 +35.0160      1       0
  83  188  0.656  0.0309    +58.8460    +58.2358 +69.9769      1       0
  84  190  0.672  0.0351        None    +73.5128     None      0       0
  85  192  0.656  0.0424    +24.3763    +74.2411 +37.1290      1       0
  86  195  0.719  0.0530        None    +69.0216     None      0       0
  87  197  0.641  0.0564        None    +63.9203     None      0       0
  88  200  0.531  0.0670    +61.3313    +69.9737 +75.5112      2       0
  89  202  0.594  0.0669        None    +72.7550     None      0       0
  90  205  0.484  0.0640        None    +68.0407     None      0       0
  91  207  0.672  0.0607    +81.7048    +56.5835 +96.5403      1       0
  92  209  0.656  0.0599    +52.3338    +46.3943 +84.4200      2      18
  93  212  0.750  0.0581    +66.8292    +47.8113 +82.1037      1       0
  94  214  0.578  0.0577    +25.1370    +30.4076 +40.5859      4       0
  95  217  0.609  0.0579    +16.8061    +14.8100 +32.5106      3       0
  96  219  0.656  0.0586    +12.0021    +11.4025 +27.8797      3       0
  97  222  0.578  0.0597        None     +4.1080     None      0       0
  98  224  0.734  0.0615        None     -0.2391 +15.3470      0       8
  99  227  0.719  0.0750     -2.3671     -2.3436 +13.8905      4       0
 100  229  0.688  0.0831     -0.6604     -0.2061 +15.6986      1      19
 101  231  0.469  0.0965     +1.7956     +1.1525 +17.3122      4       0
 102  234  0.609  0.1129     +1.3159     +0.8588 +16.5610      1       0
 103  236  0.609  0.1234     +0.5289     +0.5255 +16.1187      2       0
 104  238  0.672  0.1340     -0.2297     -0.1460 +15.5273      4       4
 105  241  0.594  0.1315        None     +0.0343     None      0       0
 106  243  0.594  0.1144     +2.5180     +1.8650 +14.6667      3       6
 107  246  0.531  0.0956     +6.9819     +5.2804 +20.3551      3       0
 108  248  0.609  0.0879     +3.5037     +3.5234 +17.4321      2       0
 109  250  0.500  0.0805     +2.6581     +7.2105 +16.9705      2       0
 110  252  0.578  0.0741        None    +10.1904 +33.4180      0       4
 111  255  0.609  0.0371    +19.8244    +19.6153 +23.2361      3       0
 112  257  0.531  0.0612    +46.5238    +49.3002 +62.0114      2       0
 113  259  0.562  0.0599    +15.4099    +34.8691 +31.1256      2       0
 114  262  0.562  0.0577        None    +37.1424     None      0       0
 115  264  0.500  0.0567    +84.2021    +59.5669 +100.2373      1       0
 116  266  0.516  0.0560    +38.1821    +32.7948 +65.4633      3       5
 117  268  0.547  0.0555    +28.6890    +35.9834 +45.0680      5       0
 118  271  0.688  0.0549    +30.9574    +31.2213 +47.5727      3       0
 119  273  0.594  0.0544        None    +34.3711     None      0       0
 120  275  0.562  0.0541    +19.8857    +32.4429 +36.8322      2       0
 121  278  0.625  0.0539    +47.4323    +27.7598 +64.6180      1       0
 122  280  0.609  0.0542        None    +19.9494     None      0       0
 123  283  0.625  0.0554        None    +14.0841     None      0       0
 124  285  0.656  0.0562     +8.7986     +7.1484 +26.5734      3       0
 125  287  0.578  0.0572     +4.0782     +5.4734 +24.7527      1       1
 126  290  0.516  0.0591     +2.1185     +1.9798 +20.2330      1       0
 127  292  0.562  0.0603     -0.0339     +0.3267 +18.1872      2       0
 128  294  0.625  0.0552     -2.1520     -2.6279 +16.1502      2       0
 129  296  0.438  0.0508        None     -3.6295     None      0       0
 130  298  0.516  0.0468     -5.7154     -3.5668 +12.5668      2       0
 131  301  0.719  0.0401     -4.7046     -2.9236 +13.3882      1       0
 132  303  0.547  0.0350     -3.7746     -2.2737 +14.0623      1       0
 133  305  0.516  0.0349        None     -1.0852 +14.3308      0      20
 134  308  0.656  0.0333    +11.3408    +15.8886 +15.2649      2       0
 135  310  0.641  0.0222        None     -0.6460     None      0       0
 136  313  0.719  0.0187        None     -0.2091     None      0       0
 137  315  0.688  0.0172        None     +2.8272     None      0       0
 138  317  0.516  0.0171     +3.5363     +3.0331 +16.3682      1       0
 139  320  0.703  0.0173     +2.4095     +2.7700 +14.9686      2       0
 140  322  0.734  0.0194        None     -0.6988     None      0       0
 141  324  0.641  0.0225    +11.9148    +10.1413 +27.8747      2       5
 142  327  0.484  0.0292     +4.8852     +4.3141 +18.5463      1       0
 143  329  0.547  0.0357        None     +2.3543     None      0       0
 144  331  0.594  0.0427        None     +4.3542     None      0       0
 145  333  0.672  0.0500        None    +11.2634     None      0       0
 146  335  0.516  0.0577        None    +23.8952     None      0       0
 147  337  0.578  0.0656    +39.8153    +23.5315 +51.1323      1       5
 148  339  0.625  0.0730    +39.0077    +32.5389 +55.4378      3       0
 149  341  0.531  0.0797    +30.0878    +40.2130 +62.0390      4       4
 150  344  0.531  0.0878        None    +42.1540     None      0       0
 151  346  0.547  0.0916    +37.6020    +38.2866 +55.3337      3       0
 152  348  0.609  0.0946    +26.5263    +35.5980 +67.2415      3       6
 153  350  0.609  0.0961    +19.7888    +37.0421 +71.2443      1      14
 154  352  0.672  0.0967    +26.1307    +28.4981 +46.9236      5       2
 155  354  0.484  0.0966    +34.6894    +23.4079 +52.6196      4       4
 156  357  0.594  0.0958    +27.1193    +18.7962 +46.0108      4       0
 157  359  0.531  0.0954    +26.0869    +16.9848 +49.0804      2      12
 158  361  0.438  0.0999    +15.3501    +13.2709 +36.0847      4       1
 159  363  0.562  0.1076     +1.7452     +3.5138 +22.2334      5       4
 160  366  0.516  0.1128     -3.0331     -2.7424 +16.5306      3       0
 161  368  0.547  0.1134     -2.7801     -2.6206 +16.8116      1       0
 162  370  0.578  0.1138     -0.3720     -0.2403 +19.2016      3       0
 163  373  0.625  0.1016     -2.0590     -3.3869 +17.3935      4       0
 164  374  0.578  0.0987     -1.1662     -1.9032 +16.7239      4      12
 165  377  0.578  0.0932     +1.3648     +3.6008 +23.0815      1      19
 166  379  0.547  0.0912     +0.6345     +0.7414 +19.9912      3       8
 167  382  0.578  0.0914     -1.5748     -2.7775 +17.3562      1       0
 168  384  0.625  0.0903     -1.4446     -0.5922 +17.5900      2      11
 169  386  0.641  0.0832        None     -0.9099 +16.6774      0      11
 170  388  0.656  0.0768     +0.1956     -0.2727 +17.9325      1       0
 171  391  0.562  0.0756     +0.1540     +0.5706 +16.1856      1       0
 172  393  0.625  0.0855     -1.2545     -1.1027 +13.9580      5       0
 173  395  0.641  0.0868     +1.0372     +1.7104 +15.9091      3      15
 174  397  0.594  0.0921     +5.5683     +3.0581 +18.8454      2      13
 175  400  0.656  0.0936     +7.4230    +15.3533 +18.9755      3       0
 176  402  0.547  0.1066     +7.0422     +4.6232 +19.1317      2       0
 177  405  0.625  0.1231     +4.6466     +5.6369 +20.9583      3       9
 178  407  0.562  0.1358    +10.1444     +8.5650 +23.5711      3       0
 179  409  0.594  0.1533    +18.4147    +15.2600 +32.7204      6       0
 180  412  0.578  0.1710    +22.2694    +20.7448 +42.9027      7       4
 181  414  0.625  0.1786    +29.3300    +26.9197 +45.9375      4       0
 182  416  0.734  0.1853    +17.0293    +43.6301 +34.3619      1       0
 183  419  0.516  0.1893    +51.8739    +44.6922 +69.9955      6       0
 184  421  0.641  0.1894    +54.5854    +48.4936 +100.8560      2      15
 185  423  0.609  0.1871    +65.8698    +56.4206 +84.6473      6       0
 186  425  0.500  0.1847    +74.7554    +65.5181 +101.7488      9       5
 187  428  0.500  0.1834    +56.9926    +63.0633 +76.2052     11       0
 188  430  0.438  0.1818    +54.7090    +62.3377 +74.0924      3       0
 189  432  0.578  0.1773    +41.3280    +53.1493 +60.8997      6       0
 190  434  0.531  0.1758    +46.8228    +49.3606 +66.5652      4       0
 191  436  0.578  0.1769    +33.3127    +34.9706 +60.6395      5      11
 192  439  0.531  0.1800    +12.9220    +33.5074 +33.0987      4       0
 193  441  0.484  0.1819    +28.7104    +24.9400 +37.1011      5       6
 194  443  0.578  0.1849    +17.7426    +20.7526 +34.3860      7       8
 195  445  0.578  0.1873    +20.1556    +15.9035 +44.8513      1       6
 196  447  0.594  0.1881     +8.1624     +9.4433 +34.3820      7      13
 197  450  0.594  0.1872     +5.0634     +3.5403 +26.0522      8       0
 198  452  0.547  0.1853     +1.4334     +2.0386 +22.5174      3       0
 199  454  0.469  0.1804     -0.6694     -0.4531 +20.4892     11       0
 200  456  0.516  0.1575     -3.1234     -2.0837 +18.0615      4       0

== aggregates over all batches with data ==
probe_prob_mean:      first 5 avg 0.0340  last 5 avg 0.1797
probe_adv_raw_mean:   +19.8196  (n=159)
probe_adv_used_mean:  -0.0623  (n=159)
nonprobe_adv_raw_mean:+21.2162  (n=200)
probe_self_n total:   443
probe_teacher_n total:435

== segment-level, regime-joined ==
 control: propensity mean 0.0807 (n=101) | deposit raw-credit mean +22.3790 (n=80)
      cf: propensity mean 0.0818 (n=101) | deposit raw-credit mean +16.9728 (n=80)
