parsed 199 fresh batch updates, 199 with probe fields

  ep grad  tfrac  p(dep) adv_dep_raw adv_non_raw    G_dep self_n teach_n
  91  203  0.484  0.1016    +13.2923    +13.6033 +27.5287      3       0
  92  205  0.578  0.1049    +13.2929    +14.1497 +27.6728      4       0
  93  208  0.547  0.1097     +6.1559     +7.5823 +20.7071      5       0
  94  210  0.531  0.1123     +8.9952     +6.6318 +23.6610      7       0
  95  212  0.531  0.1144     +3.2300     +4.9742 +17.9987      2       0
  96  214  0.625  0.1155        None     +0.6709     None      0       0
  97  216  0.453  0.1156     +0.3349     +0.4034 +15.2388      3       0
  98  218  0.438  0.1121     -1.7374     -2.0279 +13.2085      4       0
  99  221  0.562  0.1095     -4.7167     -3.0758 +10.1943      2       0
 100  222  0.531  0.1088     -3.7331     -3.3967 +10.7963      5       9
 101  225  0.547  0.1064     -3.0533     -3.3158 +11.6284      6       0
 102  227  0.609  0.1066     -1.0185     -0.9137 +13.4460      5       0
 103  229  0.656  0.1076     -0.2208     -0.7880 +13.9159      2       0
 104  231  0.547  0.1131     +0.4014     +0.2444 +14.0410      5       0
 105  233  0.406  0.1222     -0.7741     -0.5974 +12.4171      6       0
 106  235  0.484  0.1259     -1.1351     -0.4381 +11.5329      1       0
 107  238  0.484  0.1141     -1.4719     -1.2411 +10.1239      5       0
 108  239  0.625  0.1050     -1.5859     -1.0596  +9.0925      2      19
 109  242  0.453  0.0822     +2.3287     +3.8873 +11.3780      2       0
 110  244  0.516  0.0726     +0.6867     +1.5688  +9.2650      1       0
 111  246  0.656  0.0654     +0.6679     +0.6358  +8.9209      1       0
 112  248  0.547  0.0598     +0.1592     +0.2135  +8.1845      3       0
 113  250  0.547  0.0543     -0.1926     +0.0190  +7.6472      1       0
 114  252  0.484  0.0463     +0.3139     -1.1086  +7.7446      2       0
 115  254  0.531  0.0402     +1.1377     +1.8633  +8.5017      1       1
 116  256  0.625  0.0351        None     +5.3398     None      0       0
 117  258  0.484  0.0322        None     +5.7822 +12.6088      0       9
 118  260  0.500  0.0311        None     +3.6112 +10.8378      0       4
 119  262  0.562  0.0305     +0.6814     +1.6953  +6.7817      1       1
 120  264  0.562  0.0301     -0.1535     +2.0762  +4.4210      1       0
 121  265  0.438  0.0302        None     -2.2837  +4.5684      0       3
 122  267  0.594  0.0287        None     +1.0050  +5.4974      0       3
 123  269  0.547  0.0278     +0.7783     +1.0971  +4.5527      2       0
 124  271  0.578  0.0267        None     +1.0515     None      0       0
 125  273  0.547  0.0282     +2.0429     +1.3097  +4.8963      2       0
 126  275  0.562  0.0233     +0.7015     +1.0349  +3.1823      1       0
 127  277  0.594  0.0216        None     +1.9302  +5.0849      0       8
 128  278  0.672  0.0221     -2.0444     -0.9735  +1.4889      1      14
 129  281  0.641  0.0168        None     +2.8671     None      0       0
 130  283  0.609  0.0201        None     -0.1960     None      0       0
 131  285  0.500  0.0186     +0.8238     +0.7794  +1.4747      2       0
 132  287  0.656  0.0192        None     +0.4871  +1.2183      0       3
 133  289  0.594  0.0206     +0.1059     +1.2017  +2.7636      1       3
 134  292  0.516  0.0211        None     +1.0926     None      0       0
 135  294  0.516  0.0241        None     +1.6548     None      0       0
 136  296  0.531  0.0261     +2.4100     +2.9030  +5.9426      1       0
 137  298  0.547  0.0276     +0.8729     +2.3604  +5.1789      4       0
 138  300  0.438  0.0280     +1.3925     +2.4563  +6.3023      4       0
 139  303  0.516  0.0296     +3.5465     +2.4265  +7.6479      3       0
 140  304  0.484  0.0287        None     +0.2284  +7.1539      0       7
 141  306  0.547  0.0285     -1.1519     -0.4271  +5.9858      1      11
 142  308  0.453  0.0284     -1.9188     -1.2264  +4.3827      1       0
 143  310  0.516  0.0293        None    +16.2688     None      0       0
 144  312  0.531  0.0319     +4.6125     +3.5096  +9.2640      2       0
 145  315  0.453  0.0278     +6.5646     +3.8723  +9.6890      1       0
 146  317  0.391  0.0266     -0.3191     -0.2602  +5.8177      1       0
 147  319  0.578  0.0259        None     -1.5850     None      0       0
 148  321  0.516  0.0248        None     +0.3292     None      0       0
 149  323  0.422  0.0245        None     -0.9635     None      0       0
 150  324  0.609  0.0243     -1.6699     -1.3422  +3.7805      1      14
 151  325  0.422  0.0283     -1.7186     -1.5014  +3.2202      3       5
 152  327  0.688  0.0265    +21.6542    +21.8806 +22.5963      2       0
 154  330  0.562  0.0224     +3.1275     +3.7179  +3.6347      1       0
 155  331  0.594  0.0223     +0.2179     -0.7875  +4.0704      1      15
 156  334  0.516  0.0207     +2.5034     +1.6901  +4.2260      2       0
 157  336  0.469  0.0225     +0.5284     +0.5756  +4.3104      1       0
 158  338  0.641  0.0239        None     -0.8874     None      0       0
 159  341  0.594  0.0209        None     +0.9184     None      0       0
 160  342  0.656  0.0219        None     -1.0347  +1.0669      0       9
 161  344  0.609  0.0213     -0.2373     -0.0378  +2.2700      1       6
 162  346  0.594  0.0174     +0.6716     +0.2891  +1.4506      1       2
 163  348  0.656  0.0178        None     +0.2419     None      0       0
 164  350  0.672  0.0185        None     +0.7603     None      0       0
 165  352  0.609  0.0222        None     +1.4349     None      0       0
 166  353  0.562  0.0235     +0.3243     +0.6783  +3.3465      1      12
 167  355  0.594  0.0266     +5.1176     +5.3075 +11.1623      1       5
 168  357  0.500  0.0301     +3.3161    +10.5282  +5.2941      1       0
 169  358  0.609  0.0312     +4.6333     +7.7449 +17.2584      1      19
 170  359  0.594  0.0329        None     +7.4363 +19.4225      0       5
 171  361  0.734  0.0350    +27.2593    +14.3231 +28.7309      1      15
 172  362  0.672  0.0367     +5.2554     +9.0825 +22.4425      1      16
 173  364  0.531  0.0385    +15.0026    +23.3974 +35.7502      3      10
 174  366  0.703  0.0406    +45.6149    +22.0021 +51.1542      1       0
 175  368  0.547  0.0435        None    +43.5876     None      0       0
 176  369  0.594  0.0438    +56.1761    +40.2772 +75.5633      1       2
 177  371  0.578  0.0464    +62.8634    +74.2819 +71.2430      2       0
 178  373  0.547  0.0501    +60.6224    +84.4704 +70.1907      2       0
 179  376  0.469  0.0621    +59.8601    +89.4158 +70.9437      1       0
 180  377  0.688  0.0544    +44.4682    +64.2189 +117.9744      2      12
 181  379  0.469  0.0596    +88.4241   +104.6720 +150.7820      3       5
 182  380  0.484  0.0622    +99.1148    +68.6728 +141.3838      2      16
 183  382  0.453  0.0666    +42.1966   +106.5365 +100.4610      2       1
 184  383  0.438  0.0668    +66.0950    +49.6000 +97.5080      2      14
 185  385  0.500  0.0680   +117.7121    +97.4712 +131.3952      3       0
 186  386  0.391  0.0678    +88.0502   +100.8654 +161.9877      2       7
 187  389  0.547  0.0636    +56.0862    +89.8488 +70.0872      1       0
 188  390  0.453  0.0643    +67.1246    +41.2345 +111.9503      4       9
 189  392  0.484  0.0618   +154.0788   +106.8797 +168.5635      1       0
 190  393  0.438  0.0618    +55.8001    +56.2532 +109.8233      4       9
 191  395  0.453  0.0604    +34.7030    +79.9904 +49.4112      3       0
 192  397  0.516  0.0600    +15.0140   +107.5315 +155.9577      1       6
 193  398  0.500  0.0597     -6.8132    +54.7910 +127.0237      1      13
 194  399  0.609  0.0596    +44.6161    +51.3134 +60.7352      2      12
 195  400  0.484  0.0597     +0.7122    +63.1080 +44.9211      1       9
 196  402  0.406  0.0600    +47.9996    +89.5500 +119.8577      3       3
 197  403  0.516  0.0604   +107.9278    +95.8769 +167.7236      3      10
 198  404  0.391  0.0600    +18.0672    +51.7527 +37.2528      4       4
 199  406  0.469  0.0608    +96.1894    +76.6117 +112.0432      2       0
 200  407  0.453  0.0610    +63.1530    +82.3628 +141.3988      2       7

== aggregates over all batches with data ==
probe_prob_mean:      first 5 avg 0.0218  last 5 avg 0.0604
probe_adv_raw_mean:   +22.2132  (n=156)
probe_adv_used_mean:  -0.1448  (n=156)
nonprobe_adv_raw_mean:+21.4369  (n=199)
probe_self_n total:   386
probe_teacher_n total:534

== segment-level, regime-joined ==
 control: propensity mean 0.0632 (n=118) | deposit raw-credit mean +22.7071 (n=84)
      cf: propensity mean 0.0639 (n=108) | deposit raw-credit mean +22.0255 (n=78)
